"date";"ticker";"field";"override";"override_period";"value";"extraction_date"
"2001-08-21";IBOV Index;CUR_MKT_CAP;;;208,240.93;"2023-08-21"
"2001-08-22";IBOV Index;CUR_MKT_CAP;;;210,306.62;"2023-08-21"
"2001-08-23";IBOV Index;CUR_MKT_CAP;;;208,560.46;"2023-08-21"
"2001-08-24";IBOV Index;CUR_MKT_CAP;;;212,910.74;"2023-08-21"
"2001-08-27";IBOV Index;CUR_MKT_CAP;;;212,813.05;"2023-08-21"
"2001-08-28";IBOV Index;CUR_MKT_CAP;;;212,824.21;"2023-08-21"
"2001-08-29";IBOV Index;CUR_MKT_CAP;;;213,708.25;"2023-08-21"
"2001-08-30";IBOV Index;CUR_MKT_CAP;;;211,042.29;"2023-08-21"
"2001-08-31";IBOV Index;CUR_MKT_CAP;;;210,846.45;"2023-08-21"
"2001-09-03";IBOV Index;CUR_MKT_CAP;;;208,379.47;"2023-08-21"
"2001-09-04";IBOV Index;CUR_MKT_CAP;;;209,937.24;"2023-08-21"
"2001-09-05";IBOV Index;CUR_MKT_CAP;;;211,605.03;"2023-08-21"
"2001-09-06";IBOV Index;CUR_MKT_CAP;;;206,900.1;"2023-08-21"
"2001-09-07";IBOV Index;CUR_MKT_CAP;;;206,900.1;"2023-08-21"
"2001-09-10";IBOV Index;CUR_MKT_CAP;;;202,570.6;"2023-08-21"
"2001-09-11";IBOV Index;CUR_MKT_CAP;;;188,552.86;"2023-08-21"
"2001-09-12";IBOV Index;CUR_MKT_CAP;;;192,325.13;"2023-08-21"
"2001-09-13";IBOV Index;CUR_MKT_CAP;;;178,170.02;"2023-08-21"
"2001-09-14";IBOV Index;CUR_MKT_CAP;;;174,904.52;"2023-08-21"
"2001-09-17";IBOV Index;CUR_MKT_CAP;;;185,268.36;"2023-08-21"
"2001-09-18";IBOV Index;CUR_MKT_CAP;;;187,745.92;"2023-08-21"
"2001-09-19";IBOV Index;CUR_MKT_CAP;;;188,705.22;"2023-08-21"
"2001-09-20";IBOV Index;CUR_MKT_CAP;;;182,593.95;"2023-08-21"
"2001-09-21";IBOV Index;CUR_MKT_CAP;;;180,500.36;"2023-08-21"
"2001-09-24";IBOV Index;CUR_MKT_CAP;;;184,503.79;"2023-08-21"
"2001-09-25";IBOV Index;CUR_MKT_CAP;;;180,680.96;"2023-08-21"
"2001-09-26";IBOV Index;CUR_MKT_CAP;;;177,129.71;"2023-08-21"
"2001-09-27";IBOV Index;CUR_MKT_CAP;;;182,194.05;"2023-08-21"
"2001-09-28";IBOV Index;CUR_MKT_CAP;;;186,087.35;"2023-08-21"
"2001-10-01";IBOV Index;CUR_MKT_CAP;;;182,363.09;"2023-08-21"
"2001-10-02";IBOV Index;CUR_MKT_CAP;;;179,602.71;"2023-08-21"
"2001-10-03";IBOV Index;CUR_MKT_CAP;;;178,373.66;"2023-08-21"
"2001-10-04";IBOV Index;CUR_MKT_CAP;;;178,180.88;"2023-08-21"
"2001-10-05";IBOV Index;CUR_MKT_CAP;;;180,045.08;"2023-08-21"
"2001-10-08";IBOV Index;CUR_MKT_CAP;;;178,666.96;"2023-08-21"
"2001-10-09";IBOV Index;CUR_MKT_CAP;;;181,825.09;"2023-08-21"
"2001-10-10";IBOV Index;CUR_MKT_CAP;;;185,730.3;"2023-08-21"
"2001-10-11";IBOV Index;CUR_MKT_CAP;;;191,221.16;"2023-08-21"
"2001-10-12";IBOV Index;CUR_MKT_CAP;;;191,221.16;"2023-08-21"
"2001-10-15";IBOV Index;CUR_MKT_CAP;;;199,421.75;"2023-08-21"
"2001-10-16";IBOV Index;CUR_MKT_CAP;;;196,867.16;"2023-08-21"
"2001-10-17";IBOV Index;CUR_MKT_CAP;;;197,653.05;"2023-08-21"
